Work ID,Work Category,Work Title,State,IDA (Nodal Agency),Hon'ble MP,Constituency,Work Description,Recommended Date,Sanction Date,Sanction Amount (INR),Disbursed Amount (INR),Vendor Name,Expenditure Date,Work Status
WS/MP577/2024-2025/138738,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),haighway road thi pargi samsubhai titabhai na ghar sudhi c.c.road nu kam 300 mtr,06-Sep-2024,16-Mar-2025,294400.0,0.0,,,Physical Inspection
WS/MP577/2024-2025/138739,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),haighway road thi bhabhor bhavsingbhai virsingbhai na ghar sudhi c.c.road nu kam 200 mtr,06-Sep-2024,16-Mar-2025,244100.0,0.0,,,Physical Inspection
WS/MP18245/2024-2025/138740,Normal/Others,Lighting of public spaces,West Bengal,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),BAG MITALI,ARAMBAG(SC),SOLAR PANEL HIGH MAST LIGHT AT MADANMOHANPUR WITHIN GOGHAT GP UNDER GOGHTA-I DEV. BLOCK,12-Sep-2024,02-Dec-2024,377924.0,0.0,,,Physical Inspection
WS/MP18245/2024-2025/138741,Normal/Others,Lighting of public spaces,West Bengal,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),BAG MITALI,ARAMBAG(SC),SOLAR PANEL HIGH MAST LIGHT AT HAZIPUR WITHIN HAZIPUR GP UNDER GOGHAT-II DEV. BLOCK,12-Sep-2024,02-Dec-2024,377924.0,0.0,,,Physical Inspection
WS/MP18245/2024-2025/138742,Normal/Others,Lighting of public spaces,West Bengal,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),BAG MITALI,ARAMBAG(SC),SOLAR PANEL HIGH MAST LIGHT AT DARIAHAR MUSLIM PARA WITHIN HAZIPUR GP UNDER GOGHAT-II DEV. BLOCK,12-Sep-2024,02-Dec-2024,377924.0,0.0,,,Physical Inspection
WS/MP18245/2024-2025/138743,Normal/Others,"Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes",West Bengal,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),BAG MITALI,ARAMBAG(SC),CONSTRUCTION OF CYCLE STAND WITHIN NAKUNDA KATYAYANI HIGH SCHOOL AT NAKUNDA GP UNDER GOGHAT-I DEV. BLOCK,29-Oct-2024,22-Jan-2025,498320.0,0.0,,,Physical Inspection
WS/MP18354/2024-2025/138745,Normal/Others,"Purchase of IT systems, including hardware and software for educational purposes",Chhattisgarh,Balrampur-Ramanujganj(District Collector BALRAMPUR_IDA),CHINTAMANI MAHARAJ,SARGUJA(ST),"Purchase of IT systems, including hardware and software for educational purposes at Government Boys Higher Secondary School Rajpur",04-Sep-2024,26-Mar-2025,1000000.0,0.0,,,Vendor Identification
WS/MP18354/2024-2025/138746,Normal/Others,"Purchase of IT systems, including hardware and software for educational purposes",Chhattisgarh,Balrampur-Ramanujganj(District Collector BALRAMPUR_IDA),CHINTAMANI MAHARAJ,SARGUJA(ST),"Purchase of IT systems, including hardware and software for educational purposes at Government Higher Secondary School Samri",04-Sep-2024,26-Mar-2025,1000000.0,0.0,,,Vendor Identification
WS/MP18354/2024-2025/138747,Normal/Others,"Purchase of IT systems, including hardware and software for educational purposes",Chhattisgarh,Balrampur-Ramanujganj(District Collector BALRAMPUR_IDA),CHINTAMANI MAHARAJ,SARGUJA(ST),"Purchase of IT systems, including hardware and software for educational purposes at Government Higher Secoandary School Shankargarh",04-Sep-2024,26-Mar-2025,1000000.0,0.0,,,Vendor Identification
WS/MP18354/2024-2025/138748,Normal/Others,"Purchase of IT systems, including hardware and software for educational purposes",Chhattisgarh,Balrampur-Ramanujganj(District Collector BALRAMPUR_IDA),CHINTAMANI MAHARAJ,SARGUJA(ST),"Purchase of IT systems, including hardware and software for educational purposes at Government Higher Secondary School Chando",04-Sep-2024,26-Mar-2025,1000000.0,0.0,,,Vendor Identification
